station_id,station_name,arrond_name,arrond_abbrev,arrond_area
10002,Métro Charlevoix (Centre / Charlevoix),Le Sud-Ouest,SO,18144269.4942672
4000,Jeanne-d'Arc / Ontario,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
4001,Graham / Brookfield,Mont-Royal,MR,7445560.04257386
4002,Graham / Wicksteed,Mont-Royal,MR,7445560.04257386
5002,St-Charles / Montarville,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
5003,Place Longueuil,Ville-Marie,VM,21500631.743203
5004,St-Charles / Grant,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
5005,St-Charles / St-Jean,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
5006,Collège Édouard-Montpetit (de Gentilly / de Normandie),Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
5007,Métro Longueuil - Université de Sherbrooke,Ville-Marie,VM,21500631.743203
6001,Métro Champ-de-Mars (Viger / Sanguinet),Ville-Marie,VM,21500631.743203
6002,Ste-Catherine / Dezery,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6003,Clark / Evans,Ville-Marie,VM,21500631.743203
6004,du Champ-de-Mars / Gosford,Ville-Marie,VM,21500631.743203
6005,Metcalfe / du Square-Dorchester,Ville-Marie,VM,21500631.743203
6006,18e avenue / Rosemont,Rosemont-La Petite-Patrie,RO,15886530.2734387
6007,de l'Hôtel-de-Ville / Ste-Catherine,Ville-Marie,VM,21500631.743203
6008,Sanguinet / Ste-Catherine,Ville-Marie,VM,21500631.743203
6009,Crescent / de Maisonneuve,Ville-Marie,VM,21500631.743203
6011,St-André / St-Antoine,Ville-Marie,VM,21500631.743203
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,VM,21500631.743203
6013,Sanguinet / de Maisonneuve,Ville-Marie,VM,21500631.743203
6014,St-Denis / René-Lévesque,Ville-Marie,VM,21500631.743203
6015,BAnQ (Berri / de Maisonneuve),Ville-Marie,VM,21500631.743203
6016,Jacques-Le Ber / de la Pointe Nord,Verdun,VD,22328673.5349607
6017,Atateken / du Square Amherst,Ville-Marie,VM,21500631.743203
6018,St-André / Ontario,Ville-Marie,VM,21500631.743203
6019,Métro Sherbrooke (de Rigaud / Berri),Le Plateau-Mont-Royal,PM,8151665.08032495
6020,Sanguinet / Ontario,Ville-Marie,VM,21500631.743203
6021,de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,VM,21500631.743203
6022,William-Tremblay / Molson,Rosemont-La Petite-Patrie,RO,15886530.2734387
6023,de la Commune / Berri,Ville-Marie,VM,21500631.743203
6024,Bellerive / Duchesneau,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6025,Notre-Dame / St-Gabriel,Ville-Marie,VM,21500631.743203
6026,de la Commune / Place Jacques-Cartier,Ville-Marie,VM,21500631.743203
6027,de Maisonneuve / Mansfield (sud),Ville-Marie,VM,21500631.743203
6029,Bourget / St-Jacques,Le Sud-Ouest,SO,18144269.4942672
6031,de Maisonneuve / Robert-Bourassa,Ville-Marie,VM,21500631.743203
6032,Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,VM,21500631.743203
6033,16e avenue / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6035,Viger / Chenneville,Ville-Marie,VM,21500631.743203
6036,de la Commune / St-Sulpice,Ville-Marie,VM,21500631.743203
6037,St-Nicolas / Place d'Youville,Ville-Marie,VM,21500631.743203
6038,McGill / Place d'Youville,Ville-Marie,VM,21500631.743203
6039,McGill / des Récollets,Ville-Marie,VM,21500631.743203
6040,St-Jacques / St-Pierre,Ville-Marie,VM,21500631.743203
6041,St-Jacques / McGill,Ville-Marie,VM,21500631.743203
6042,de la Gauchetière / Robert-Bourassa,Ville-Marie,VM,21500631.743203
6043,Square Victoria (Viger / du Square-Victoria),Ville-Marie,VM,21500631.743203
6044,Roy / St-André,Le Plateau-Mont-Royal,PM,8151665.08032495
6046,Métro Bonaventure (de la Gauchetière / de la Cathédrale),Ville-Marie,VM,21500631.743203
6047,University / Prince-Arthur,Le Plateau-Mont-Royal,PM,8151665.08032495
6048,William / St-Henri,Ville-Marie,VM,21500631.743203
6049,Queen / Wellington,Ville-Marie,VM,21500631.743203
6050,St-Maurice / Robert-Bourassa,Ville-Marie,VM,21500631.743203
6051,de Gaspé / Marmier,Rosemont-La Petite-Patrie,RO,15886530.2734387
6052,de la Commune / King,Ville-Marie,VM,21500631.743203
6053,du Président-Kennedy / Jeanne-Mance,Ville-Marie,VM,21500631.743203
6057,Peel / de la Gauchetiere,Ville-Marie,VM,21500631.743203
6058,Cypress / Peel,Ville-Marie,VM,21500631.743203
6059,de la Cathédrale / René-Lévesque,Ville-Marie,VM,21500631.743203
6060,Belmont / Robert-Bourassa,Ville-Marie,VM,21500631.743203
6061,Mansfield / Ste-Catherine,Ville-Marie,VM,21500631.743203
6062,Drummond / Ste-Catherine,Ville-Marie,VM,21500631.743203
6063,Drummond / de Maisonneuve,Ville-Marie,VM,21500631.743203
6064,Métro Peel (de Maisonneuve / Stanley),Ville-Marie,VM,21500631.743203
6065,de la Montagne / Sherbrooke,Ville-Marie,VM,21500631.743203
6066,McTavish / des Pins,Ville-Marie,VM,21500631.743203
6067,Porte-de-Québec / St-Hubert,Ville-Marie,VM,21500631.743203
6068,2e avenue / Jean-Rivard,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6070,Milton / University,Le Plateau-Mont-Royal,PM,8151665.08032495
6072,Metcalfe / de Maisonneuve,Ville-Marie,VM,21500631.743203
6073,de Maisonneuve / Aylmer (ouest),Ville-Marie,VM,21500631.743203
6075,University / des Pins,Ville-Marie,VM,21500631.743203
6076,de Ville-Marie / Ste-Catherine,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6078,St-Alexandre / Ste-Catherine,Ville-Marie,VM,21500631.743203
6079,Hutchison / Prince-Arthur,Le Plateau-Mont-Royal,PM,8151665.08032495
