nmid,name,parasite,okja,snowpiercer,mother,the_host,memories_of_murder,barking_dogs_never_bite
nm0814280,Kang-ho Song,1,0,1,0,1,1,0
nm1310525,Sun-kyun Lee,1,0,0,0,0,0,0
nm1856097,Yeo-jeong Jo,1,0,0,0,0,0,0
nm6079248,Woo-sik Choi,1,1,0,0,0,0,0
nm6476224,So-dam Park,1,0,0,0,0,0,0
nm7553003,Jeong-eun Lee,1,1,0,1,0,0,0
nm4525883,Hye-jin Jang,1,0,0,0,0,0,0
nm3745391,Myeong-hoon Park,1,0,0,0,0,0,0
nm7616095,Ji-so Jung,1,0,0,0,0,0,0
nm10700274,Hyun-jun Jung,1,0,0,0,0,0,0
nm4522499,Keun-rok Park,1,1,0,0,0,0,0
nm10860732,Jeong Esuz,1,0,0,0,0,0,0
nm11261148,Jo Jae-Myeong,1,0,0,0,0,0,0
nm10215504,Ik-han Jung,1,0,0,0,0,0,0
nm11044243,Kyu-Baek Kim,1,0,0,0,0,0,0
nm11432327,Hwang In Kyung,1,0,0,0,0,0,0
nm9086195,Seong-Bong Ahn,1,1,0,0,0,0,0
nm11432328,Kim Jin Hyung,1,0,0,0,0,0,0
nm10783032,Yoon Young-woo,1,0,0,0,0,0,0
nm1176304,JaeWook Park,1,0,0,0,0,0,0
nm11432329,Kang Hyun Gyu,1,0,0,0,0,0,0
nm11432330,Seo Hee Young,1,0,0,0,0,0,0
nm3727008,Dong-yong Lee,1,0,0,0,1,1,0
nm11432331,An Jing San,1,0,0,0,0,0,0
nm11432332,A Reum Jeong,1,0,0,0,0,0,0
nm11432333,Kim Jung Woo,1,0,0,0,0,0,0
nm11432334,Kim Geon,1,0,0,0,0,0,0
nm10726591,Joo-hyung Lee,1,0,0,0,0,0,0
nm11432335,Jung Jae Hoon,1,0,0,0,0,0,0
nm11432336,Yang Sun Young,1,0,0,0,0,0,0
nm11432337,Lee Lu A.,1,0,0,0,0,0,0
nm11432338,Lee Sang Kyung,1,0,0,0,0,0,0
nm10860733,Ji-hye Lee,1,0,0,0,0,0,0
nm11432339,Kim Bo Ryoung,1,0,0,0,0,0,0
nm11432340,Kim E. Seul,1,0,0,0,0,0,0
nm11432341,Hyea-ryun Kim,1,0,0,0,0,0,0
nm11432342,Kim Young Jo,1,0,0,0,0,0,0
nm11432343,Kim Sung Joon,1,0,0,0,0,0,0
nm11432344,Kim Sung Su,1,0,0,0,0,0,0
nm11432345,Kim Ha Eun,1,0,0,0,0,0,0
nm11432346,Park Mi Ae,1,0,0,0,0,0,0
nm11432347,Park Hye Sook,1,0,0,0,0,0,0
nm11432348,Baik Seung Hwan,1,0,0,0,0,0,0
nm11432349,Park Jae Wan,1,0,0,0,0,0,0
nm11432350,Park Ga Bin,1,0,0,0,0,0,0
nm11432351,Seol Min,1,0,0,0,0,0,0
nm11432352,Seo Han Gyeol,1,0,0,0,0,0,0
nm11432353,Oh Mu Yong,1,0,0,0,0,0,0
nm11432354,Lee Si Hoo,1,0,0,0,0,0,0
nm11432355,Lee In Kyung,1,0,0,0,0,0,0
nm11432356,Lee Si Eun,1,0,0,0,0,0,0
nm11432357,Lee Do Woon,1,0,0,0,0,0,0
nm11432358,Oh Byeol Ha,1,0,0,0,0,0,0
nm11432359,Kim Yooin,1,0,0,0,0,0,0
nm11432360,Yu Chae Ryeon,1,0,0,0,0,0,0
nm11432361,Jang Ye Won,1,0,0,0,0,0,0
nm11432362,Jung Se Hyun,1,0,0,0,0,0,0
nm11432363,Jeong Il Hwa,1,0,0,0,0,0,0
nm11432364,Jee Yeon,1,0,0,0,0,0,0
nm11432365,Ji Hye Yeong,1,0,0,0,0,0,0
nm11432366,Je Seung Hyun,1,0,0,0,0,0,0
nm11432367,Choi Ji Won,1,0,0,0,0,0,0
nm11432368,Ha Woun Hee,1,0,0,0,0,0,0
nm11432369,Riccardo Ferraresso,1,0,0,0,0,0,0
nm11432370,Choi Jeong Hyun,1,0,0,0,0,0,0
nm11432371,Ko Kwan Jae,1,0,0,0,0,0,0
nm11432372,Lee Si Hoon,1,0,0,0,0,0,0
nm11432373,Seo Pok Hyun,1,0,0,0,0,0,0
nm11432374,Shim Su Mi,1,0,0,0,0,0,0
nm11432375,Joon Hye Ri,1,0,0,0,0,0,0
nm11432376,Beak Dong Hyun,1,0,0,0,0,0,0
nm11432377,Jang Ji Woo,1,0,0,0,0,0,0
nm9069396,Andreas Fronk,1,1,0,0,0,0,0
nm11432378,Anna Elisabeth Rihlmann,1,0,0,0,0,0,0
nm6673675,Melinda McDonald,1,0,0,0,0,0,0
nm11432379,Sean Thomas,1,0,0,0,0,0,0
nm11432380,Rosie Peralta,1,0,0,0,0,0,0
nm11432381,Lee Eun Hee,1,0,0,0,0,0,0
nm11432382,Kim Se In,1,0,0,0,0,0,0
nm11432383,Han Mi Ja,1,0,0,0,0,0,0
nm11432384,Ju Su Ji,1,0,0,0,0,0,0
nm11432385,Shin Seung Min,1,0,0,0,0,0,0
nm11432386,Gamja,1,0,0,0,0,0,0
nm11432387,Mangchi,1,0,0,0,0,0,0
nm11432388,Mungchi,1,0,0,0,0,0,0
nm6124994,Seo-joon Park,1,0,0,0,0,0,0
nm10113618,Kwak Sin Ae,1,0,0,0,0,0,0
nm11432389,Mark Siegmund,1,0,0,0,0,0,0
nm11432390,Katrin Maurer,1,0,0,0,0,0,0
nm9940906,Hyo-shin Pak,1,0,0,0,0,0,0
nm0842770,Tilda Swinton,0,1,1,0,0,0,0
nm3777533,Sheena Kamal,0,1,0,0,0,0,0
nm2807260,Michael Mitton,0,1,0,0,0,0,0
nm3273353,Colm Hill,0,1,0,0,0,0,0
nm0456734,Kathryn Kirkpatrick,0,1,0,0,0,0,0
nm9086159,Jose Carias,0,1,0,0,0,0,0
nm0002064,Giancarlo Esposito,0,1,0,0,0,0,0
nm0350453,Jake Gyllenhaal,0,1,0,0,0,0,0
nm2225945,Nancy Amelia Bell,0,1,0,0,0,0,0
nm3673821,Seo-hyun Ahn,0,1,0,0,0,0,0
nm1322404,Hee-Bong Byun,0,1,0,0,1,1,1
nm9086161,Jaein Kim,0,1,0,0,0,0,0
