nmid1,nmid2,weight
nm0814280,nm6476224,1
nm0814280,nm7553003,2
nm0814280,nm4525883,1
nm0814280,nm3727008,1
nm0814280,nm2175143,4
nm0814280,nm9086162,1
nm0814280,nm6771505,1
nm0814280,nm0432429,1
nm0814280,nm1241993,3
nm0814280,nm3797665,1
nm0814280,nm3482964,2
nm0814280,nm1310960,1
nm0814280,nm0046277,2
nm0814280,nm1367681,7
nm0814280,nm1594385,1
nm0814280,nm3674286,1
nm0814280,nm10056544,1
nm0814280,nm1963874,1
nm0814280,nm1559446,3
nm0814280,nm1323287,2
nm0814280,nm1627866,1
nm0814280,nm1960271,2
nm0814280,nm7950807,1
nm0814280,nm1325300,1
nm0814280,nm1322499,2
nm0814280,nm3640044,4
nm1310525,nm6079248,1
nm1310525,nm7553003,1
nm1310525,nm7616095,1
nm1310525,nm4522499,1
nm1310525,nm9086195,2
nm1310525,nm9069396,1
nm1310525,nm6124994,1
nm1310525,nm3673821,1
nm1310525,nm1322404,1
nm1310525,nm6771505,1
nm1310525,nm3786479,1
nm1310525,nm9086204,1
nm1310525,nm1047193,1
nm1310525,nm3827087,1
nm1310525,nm3674332,1
nm1310525,nm3011544,1
nm1310525,nm2600104,1
nm1310525,nm3242530,1
nm1310525,nm6491760,1
nm1310525,nm3482964,1
nm1310525,nm1310960,1
nm1310525,nm2156926,1
nm1310525,nm2499089,1
nm1310525,nm3674286,1
nm1310525,nm1042831,1
nm1310525,nm1559446,1
nm1310525,nm4365014,1
nm1310525,nm1323287,1
nm1310525,nm1369550,1
nm1310525,nm1960271,1
nm1310525,nm2580458,1
nm1310525,nm1325300,1
nm1310525,nm1296981,1
nm1310525,nm1322499,2
nm1310525,nm1696090,1
nm1310525,nm1568779,2
nm1310525,nm1563971,1
nm1310525,nm3680865,1
nm1310525,nm1018373,1
nm1856097,nm3827087,1
nm1856097,nm3242530,1
nm1856097,nm6491760,1
nm1856097,nm1367681,1
nm1856097,nm6771217,1
nm1856097,nm1960271,1
nm6079248,nm6476224,1
nm6079248,nm7553003,1
nm6079248,nm7616095,1
nm6079248,nm11044243,1
nm6079248,nm9086195,1
nm6079248,nm6124994,3
nm6079248,nm3673821,1
nm6079248,nm6771505,1
nm6079248,nm3786479,1
nm6079248,nm6804114,1
nm6079248,nm9086204,1
nm6079248,nm3011544,2
nm6079248,nm2600104,1
nm6079248,nm3242530,1
nm6079248,nm1241993,1
nm6079248,nm6491760,1
nm6079248,nm1367681,1
nm6079248,nm1559446,2
nm6079248,nm1323287,1
nm6079248,nm1960271,3
nm6079248,nm1235292,1
nm6079248,nm1322499,1
nm6079248,nm1696090,1
nm6079248,nm1563971,1
nm6476224,nm3727008,1
nm6476224,nm6124994,1
nm6476224,nm1322404,1
nm6476224,nm2175143,1
nm6476224,nm6771505,1
nm6476224,nm3786479,1
nm6476224,nm8167689,1
nm6476224,nm3826489,1
nm6476224,nm3242530,2
nm6476224,nm1241993,1
nm6476224,nm3482964,1
nm6476224,nm1310960,1
nm6476224,nm1367681,4
nm6476224,nm1559446,1
nm6476224,nm4365014,1
nm6476224,nm1627866,1
nm6476224,nm1322499,1
nm6476224,nm3640044,1
nm7553003,nm7616095,1
nm7553003,nm3673821,1
nm7553003,nm9086162,1
nm7553003,nm6771505,2
nm7553003,nm3786479,2
nm7553003,nm9058140,1
nm7553003,nm1067547,1
nm7553003,nm1918588,1
nm7553003,nm3825915,1
nm7553003,nm3011544,1
nm7553003,nm2600104,1
nm7553003,nm3242530,1
nm7553003,nm6491760,2
nm7553003,nm1367681,1
nm7553003,nm10056544,1
nm7553003,nm1559446,3
nm7553003,nm1323287,1
nm7553003,nm1960271,2
nm7553003,nm3882173,1
nm7553003,nm2182458,1
nm7553003,nm1322499,1
nm7553003,nm1696090,2
nm7553003,nm1563971,1
nm7553003,nm3680865,1
nm7553003,nm3746222,1
nm4525883,nm3745391,1
nm4525883,nm4522499,1
nm4525883,nm3727008,2
nm4525883,nm3242530,1
nm4525883,nm1241993,2
nm4525883,nm3882173,1
nm4525883,nm1325300,1
nm4525883,nm1322499,1
nm3745391,nm3727008,1
nm3745391,nm4561627,1
nm3745391,nm3242530,1
nm3745391,nm1138201,1
nm7616095,nm3673821,1
nm7616095,nm6771505,1
nm7616095,nm3786479,1
nm7616095,nm3011544,1
nm7616095,nm2600104,1
nm7616095,nm3242530,2
nm7616095,nm6491760,1
nm7616095,nm1559446,1
nm7616095,nm1323287,1
nm7616095,nm1960271,2
nm7616095,nm1322499,1
nm7616095,nm1696090,1
nm7616095,nm1563971,1
nm10700274,nm6491760,1
nm10700274,nm3882173,1
nm4522499,nm9086195,1
nm4522499,nm6048720,1
nm4522499,nm1047193,1
nm11044243,nm9086195,1
nm11044243,nm3727008,2
nm11044243,nm6124994,1
nm11044243,nm3786479,1
nm11044243,nm3467851,1
nm11044243,nm1918588,1
nm11044243,nm3825915,1
nm11044243,nm4842779,1
nm9086195,nm9069396,1
nm9086195,nm6124994,1
nm9086195,nm9086204,2
nm9086195,nm1047193,1
nm9086195,nm1367681,1
nm9086195,nm1960271,1
nm9086195,nm0453467,1
nm3727008,nm9069396,1
nm3727008,nm3786479,1
nm3727008,nm8167689,1
nm3727008,nm3827087,2
nm3727008,nm3242530,2
nm3727008,nm1241993,1
nm3727008,nm1310960,1
nm3727008,nm0046277,1
nm3727008,nm1367681,3
nm3727008,nm1559446,2
nm3727008,nm0477299,1
nm3727008,nm1627866,1
nm3727008,nm3882173,2
nm3727008,nm2182458,2
nm3727008,nm1138201,1
nm3727008,nm1325300,1
nm3727008,nm1322499,1
nm3727008,nm3640044,2
nm3727008,nm0407992,1
nm11432372,nm6491760,1
nm9069396,nm3786479,1
nm9069396,nm3467851,1
nm9069396,nm9058140,1
nm9069396,nm9086204,2
nm9069396,nm1559446,1
nm9069396,nm2182458,1
nm9069396,nm1696090,1
nm9069396,nm2494806,1
nm6124994,nm3786479,2
nm6124994,nm2163344,1
nm6124994,nm3825915,1
nm6124994,nm3011544,1
nm6124994,nm3242530,1
nm6124994,nm1241993,1
nm6124994,nm4365014,1
nm6124994,nm1960271,1
nm0842770,nm1753302,2
nm0842770,nm4371227,1
nm0842770,nm7457303,2
nm0842770,nm0262635,1
nm0842770,nm0000457,4
nm0842770,nm0683467,1
nm0842770,nm0661950,1
nm0842770,nm7009175,1
nm2807260,nm3273353,3
nm2807260,nm0456734,2
nm2807260,nm2225945,1
nm2807260,nm4215448,2
nm2807260,nm2851898,1
nm2807260,nm0089151,2
nm2807260,nm7793020,1
nm2807260,nm4012665,2
nm2807260,nm0272384,1
nm2807260,nm2760381,1
nm2807260,nm2132410,1
nm3273353,nm0456734,2
nm3273353,nm2225945,1
nm3273353,nm4215448,1
nm3273353,nm0089151,1
nm3273353,nm4012665,1
nm3273353,nm0272384,2
nm3273353,nm1074415,1
nm3273353,nm0403828,1
